"statvalue","nosubs"
"Q1",7
"Q1000370",1
"Q100047",1
"Q1001086",1
"Q1003025",2
"Q1004322",1
"Q1004401",1
"Q1005815",4
"Q101081",1
"Q1011547",3
"Q101362",1
"Q101680",1
"Q1016979",3
"Q10175348",1
"Q10181383",1
"Q101971",2
"Q1019917",1
"Q1020619",1
"Q1020767",2
"Q1020994",6
"Q1021663",1
"Q1022240",1
"Q1024984",1
"Q1026",3
"Q1026040",2
"Q10265550",1
"Q102686",2
"Q102720",1
"Q10278595",1
"Q10283002",1
"Q10283558",1
"Q102932",2
"Q1029430",1
"Q10296503",1
"Q10296912",1
"Q1029751",1
"Q1031365",1
"Q10316404",1
"Q10319398",1
"Q1032176",2
"Q1032349",1
"Q1034626",1
"Q103510",1
"Q103537",3
"Q1035954",3
"Q10359848",1
"Q10366773",11
"Q1037104",1
"Q1037119",3
"Q10379",4
"Q1037909",1
"Q10384",1
"Q104021",4
"Q10406027",1
"Q1041282",1
"Q1041418",2
"Q104162",3
"Q104168",3
"Q1041682",14
"Q104212",2
"Q1043220",1
"Q1044109",1
"Q1044401",1
"Q104444",2
"Q1044835",3
"Q104534",1
"Q104567",3
"Q1046351",1
"Q104641",7
"Q1046474",1
"Q1047113",7
"Q1047752",1
"Q1048387",1
"Q1048573",1
"Q1048607",1
"Q1048902",2
"Q1049254",1
"Q10493450",1
"Q1049923",1
"Q1050567",1
"Q1051175",1
"Q1051792",1
"Q1051925",1
"Q10519939",1
"Q1052621",1
"Q105269",1
"Q1052721",1
"Q1053211",1
"Q1053266",1
"Q10535274",1
"Q1054011",1
"Q10547419",1
"Q105499",1
"Q105522",1
"Q1055807",4
"Q1056396",2
"Q105650",1
"Q10566065",3
"Q1056817",1
"Q105688",5
"Q1056901",8
"Q1057203",8
"Q1057397",2
"Q105769",1
"Q105784",1
"Q10578722",7
"Q1058236",2
"Q1058263",1
"Q10585806",4
"Q1058689",1
"Q1058801",1
"Q1059",2
"Q105902",1
"Q1059047",2
"Q10590700",2
"Q105973",1
"Q105985",4
"Q10599959",1
"Q1060092",10
"Q106016",3
"Q1060160",2
"Q1060280",1
"Q1060330",1
"Q1060682",2
"Q10607896",1
"Q1061179",1
"Q1061415",1
"Q1062630",1
"Q1062990",3
"Q1063762",1
"Q1063837",2
"Q106410",1
"Q1064173",2
"Q1064441",1
"Q1064500",1
"Q1064975",1
"Q1065052",1
"Q10650932",1
"Q1065241",1
"Q1065742",6
"Q1065846",1
"Q1065927",1
"Q1066186",25
"Q1066289",1
"Q106675",4
"Q106693",3
"Q10669858",3
"Q1067203",1
"Q10681470",1
"Q10685476",1
"Q10687729",1
"Q1069090",1
"Q1069280",1
"Q1069618",1
"Q1069725",2
"Q1070216",2
"Q1070277",4
"Q1071013",1
"Q10715829",2
"Q1072190",1
"Q1072814",1
"Q10729326",4
"Q1073174",1
"Q1073939",1
"Q107411",1
"Q107414",1
"Q107427",2
"Q107434",2
"Q107444",3
"Q10748471",2
"Q1074953",3
"Q10751894",2
"Q1076532",1
"Q1076557",1
"Q1076693",2
"Q1076893",1
"Q10770146",2
"Q1077064",3
"Q107780",1
"Q1078222",1
"Q1078683",2
"Q1079559",1
"Q107994",2
"Q10801007",3
"Q1080599",2
"Q10810201",1
"Q108158",1
"Q10816384",1
"Q1081988",2
"Q10827272",1
"Q108307",5
"Q1083894",1
"Q1084127",1
"Q10855354",4
"Q10856",3
"Q10856114",1
"Q10857409",7
"Q10858537",2
"Q10859258",1
"Q10859422",14
"Q10862449",6
"Q108709",2
"Q10877961",7
"Q108810",1
"Q1088341",1
"Q10886678",1
"Q1089120",1
"Q10892",2
"Q1089465",1
"Q10901070",1
"Q10907836",1
"Q10909316",2
"Q1091147",1
"Q10921627",19
"Q1092499",1
"Q10927834",2
"Q1093135",1
"Q1093406",1
"Q1093445",2
"Q1093522",2
"Q1094190",1
"Q10952243",1
"Q109548",1
"Q10956917",2
"Q1096907",1
"Q1097859",1
"Q1098125",1
"Q109856",5
"Q10992060",3
"Q10998",110
"Q11006",1
"Q11009165",2
"Q110223",3
"Q11039483",2
"Q1104185",1
"Q11054563",2
"Q110701",2
"Q11074667",2
"Q11076133",3
"Q11083",1
"Q1109916",1
"Q11118951",1
"Q1113134",2
"Q1113604",5
"Q1115221",1
"Q1115235",1
"Q11153481",1
"Q1115956",1
"Q11162356",1
"Q11163999",2
"Q1116508",2
"Q11175039",1
"Q11180",1
"Q111837",12
"Q11184",2
"Q1118589",1
"Q11198945",1
"Q1120452",1
"Q11205",3
"Q1121366",1
"Q1121479",2
"Q1121492",1
"Q11216",8
"Q11219",4
"Q1122364",1
"Q1122550",2
"Q112269",1
"Q11228024",1
"Q1123036",1
"Q11236878",4
"Q11237484",3
"Q1123840",1
"Q1124312",10
"Q112457",4
"Q11247037",1
"Q1125215",1
"Q1125338",5
"Q11253473",1
"Q11254",1
"Q11255",2
"Q1125638",3
"Q11259415",6
"Q1126018",1
"Q11261",1
"Q11261489",1
"Q1126161",1
"Q11267294",1
"Q1126769",4
"Q1126859",2
"Q11271324",5
"Q1127267",1
"Q11274709",8
"Q11286875",1
"Q1129338",5
"Q1129382",1
"Q1129471",2
"Q1129521",4
"Q1130093",2
"Q1130322",2
"Q1130342",1
"Q1130350",1
"Q1130571",1
"Q113073",1
